list bst size
1 1 1
1 1 2
1 1 3
2 2 4
3 2 5
3 2 6
3 2 7
4 3 8
4 3 9
5 3 10
5 3 11
6 3 12
6 4 13
7 4 14
7 4 15
8 3 16
9 3 17
9 4 18
10 4 19
10 4 20
10 4 21
11 5 22
11 5 23
11 6 24
12 4 25
13 5 26
15 4 27
15 6 28
13 4 29
15 5 30
14 6 31
16 5 32
17 4 33
18 5 34
19 4 35
17 5 36
20 4 37
19 5 38
20 5 39
22 5 40
20 5 41
23 6 42
21 5 43
23 6 44
22 5 45
23 7 46
21 7 47
23 8 48
26 5 49
21 5 50
25 5 51
25 6 52
27 6 53
25 6 54
30 5 55
27 6 56
28 5 57
31 5 58
32 5 59
29 6 60
29 6 61
32 6 62
30 6 63
31 6 64
33 5 65
31 5 66
35 6 67
32 7 68
38 6 69
34 6 70
34 7 71
36 6 72
37 6 73
36 7 74
34 8 75
35 6 76
33 8 77
36 5 78
36 6 79
39 7 80
40 6 81
40 7 82
44 8 83
43 7 84
43 6 85
42 7 86
42 6 87
44 7 88
45 7 89
43 7 90
49 7 91
43 7 92
46 6 93
53 6 94
50 7 95
46 8 96
49 7 97
44 7 98
46 7 99
48 7 100
51 6 101
55 8 102
50 7 103
49 7 104
54 7 105
52 8 106
53 7 107
48 7 108
57 7 109
60 7 110
59 6 111
56 8 112
52 7 113
60 7 114
57 8 115
57 8 116
66 6 117
58 8 118
63 7 119
61 8 120
61 9 121
64 8 122
61 7 123
64 7 124
63 7 125
61 7 126
68 6 127
60 9 128
70 7 129
67 9 130
61 8 131
64 7 132
70 7 133
65 8 134
68 7 135
66 9 136
71 7 137
68 8 138
70 8 139
65 8 140
74 8 141
70 7 142
71 8 143
73 8 144
71 7 145
74 9 146
70 7 147
80 8 148
77 7 149
66 8 150
76 7 151
78 7 152
71 9 153
81 7 154
79 8 155
81 7 156
79 7 157
76 10 158
78 8 159
81 7 160
77 8 161
81 8 162
83 7 163
80 9 164
81 8 165
77 7 166
91 8 167
89 7 168
80 7 169
78 9 170
88 8 171
85 8 172
80 7 173
86 8 174
90 9 175
94 7 176
87 8 177
93 9 178
91 7 179
87 8 180
84 8 181
92 8 182
95 8 183
86 8 184
93 8 185
94 7 186
98 8 187
87 9 188
91 8 189
91 9 190
94 9 191
102 9 192
95 8 193
83 9 194
102 8 195
97 8 196
96 8 197
95 8 198
91 9 199
86 8 200
101 8 201
95 8 202
109 7 203
102 8 204
100 9 205
99 9 206
115 8 207
115 9 208
100 8 209
97 8 210
105 8 211
107 7 212
126 8 213
114 8 214
90 9 215
114 10 216
98 9 217
106 9 218
115 9 219
110 9 220
115 10 221
106 8 222
112 10 223
120 8 224
117 8 225
109 8 226
119 8 227
117 9 228
116 10 229
116 10 230
117 8 231
107 8 232
118 9 233
111 8 234
108 9 235
110 9 236
105 8 237
123 9 238
124 8 239
121 8 240
122 9 241
115 9 242
125 9 243
118 9 244
129 8 245
117 10 246
126 8 247
125 9 248
133 10 249
128 8 250
145 8 251
120 8 252
122 9 253
127 8 254
140 10 255
128 8 256
130 9 257
140 9 258
135 10 259
140 9 260
124 9 261
127 8 262
131 10 263
143 9 264
124 8 265
125 10 266
143 10 267
140 9 268
138 9 269
131 10 270
142 8 271
145 9 272
139 8 273
151 9 274
149 8 275
135 8 276
156 8 277
131 9 278
131 9 279
142 9 280
147 8 281
146 8 282
133 10 283
159 11 284
141 9 285
136 9 286
164 8 287
141 10 288
164 8 289
144 9 290
152 10 291
143 9 292
153 9 293
134 9 294
126 11 295
144 9 296
155 9 297
144 9 298
140 9 299
159 8 300
143 10 301
161 8 302
136 10 303
133 9 304
151 9 305
161 9 306
152 10 307
155 9 308
157 9 309
133 9 310
146 10 311
142 10 312
158 9 313
148 10 314
151 8 315
163 9 316
170 9 317
148 10 318
161 10 319
150 10 320
161 10 321
150 9 322
155 11 323
156 10 324
160 9 325
167 9 326
162 9 327
153 9 328
140 10 329
165 8 330
158 11 331
171 9 332
172 8 333
171 9 334
166 9 335
158 9 336
146 9 337
186 9 338
170 9 339
196 8 340
156 10 341
177 9 342
187 8 343
174 9 344
180 9 345
170 11 346
171 9 347
183 8 348
191 10 349
182 10 350
190 9 351
181 9 352
160 10 353
159 9 354
178 8 355
162 10 356
182 9 357
182 9 358
181 9 359
207 9 360
178 9 361
186 9 362
189 9 363
192 9 364
159 11 365
172 8 366
183 10 367
177 10 368
193 9 369
196 9 370
199 11 371
170 9 372
205 9 373
191 9 374
173 9 375
186 10 376
187 9 377
181 9 378
184 10 379
193 11 380
168 9 381
195 11 382
175 9 383
182 9 384
198 10 385
194 9 386
207 9 387
188 11 388
191 9 389
177 10 390
195 8 391
209 10 392
185 10 393
186 10 394
200 9 395
186 9 396
176 10 397
201 10 398
185 10 399
204 9 400
211 9 401
209 10 402
205 9 403
189 9 404
197 11 405
216 10 406
214 9 407
202 10 408
179 9 409
196 10 410
210 9 411
205 10 412
194 11 413
210 10 414
184 10 415
205 10 416
197 10 417
199 10 418
199 11 419
204 10 420
210 9 421
197 10 422
210 11 423
200 9 424
220 12 425
233 9 426
233 10 427
230 10 428
218 10 429
206 10 430
221 10 431
224 10 432
211 9 433
224 9 434
215 12 435
214 9 436
218 10 437
217 10 438
210 11 439
236 9 440
223 10 441
203 10 442
212 9 443
222 10 444
228 10 445
206 10 446
221 10 447
223 11 448
221 9 449
248 9 450
224 9 451
221 10 452
253 9 453
247 10 454
236 10 455
226 10 456
227 11 457
247 10 458
227 10 459
219 9 460
249 9 461
230 10 462
235 11 463
227 10 464
258 9 465
220 10 466
232 10 467
243 10 468
227 10 469
250 9 470
230 10 471
230 10 472
226 10 473
229 10 474
229 10 475
217 11 476
239 10 477
241 10 478
259 9 479
244 11 480
216 10 481
255 10 482
232 10 483
256 9 484
232 11 485
238 11 486
246 10 487
256 10 488
240 10 489
246 10 490
246 11 491
247 11 492
239 9 493
246 10 494
221 11 495
257 9 496
243 10 497
255 11 498
244 10 499
253 10 500
